Species,corMxPA,AUC,TSS,beta,AUC.CV,TSS.CV
sa11,0.6384839,0.8333333,0.07490674,0.8875801,0.8994751,0.005204614
sa21,0.3281531,0.7328467,0.1184188,0.6144584,0.8147352,0.004141993
sa16,0.4023729,0.8818959,0.1232855,1.014885,0.9789912,0.006581884
sa05,0.6216419,0.8219178,0.07142621,0.4501331,0.9784268,0.01096801
sa26,0.551248,0.7154948,0.2348341,1.171677,0.783979,0.02523559
sa01,0.5961008,0.8570806,0.1834439,0.9887681,0.8222515,0.01596845
sa11,0.720447,0.9727891,0.06023865,0.9607298,0.8887909,0.005723078
sa21,0.7309446,0.6736597,0.05602345,1.449605,0.6863007,0.002592095
sa16,0.7349723,0.8823944,0.09860882,1.389395,0.984166,0.006143783
sa05,0.8027591,0.8612245,0.06756548,0.8863738,0.9802263,0.01362948
sa26,0.6132443,0.6692708,0.1966379,0.9965128,0.8242805,0.03071462
sa01,0.6532719,0.8484848,0.1093699,0.9607855,0.8348376,0.01851091
sa11,0.3413469,0.7526042,0.07233297,0.815532,0.9147057,0.005970838
sa21,0.4853081,0.6535714,0.0573458,1.424643,0.7110106,0.002832737
sa16,0.5174464,0.9041096,0.07999786,0.543382,0.9789617,0.006506631
sa05,0.7928719,0.8665541,0.05555354,0.633193,0.9894086,0.01397245
sa26,0.6257618,0.7561849,0.2128645,1.284816,0.7977766,0.03091513
sa01,0.6390866,0.8503317,0.2142831,0.9877439,0.8208432,0.01718844
sa21,0.8249679,0.8290441,0.1664621,0.7599943,0.6751364,0.001506496
sa11,0.6146802,0.8253425,0.0515996,0.7215422,0.9135401,0.005328064
sa16,0.5530963,0.8489796,0.04123151,0.7568014,0.9816059,0.006646414
sa05,0.9318093,0.7819635,0.08450498,0.9095663,0.9785764,0.01560707
sa26,0.4695447,0.6830244,0.1618015,1.103841,0.8198764,0.03108727
sa01,0.5071625,0.8389596,0.1470107,1.1794,0.817659,0.0185993
sa11,0.806663,0.8445946,0.04761673,0.8872049,0.8894557,0.005738055
sa21,0.5042104,0.7767857,0.08103682,0.8791494,0.8057883,0.004141356
sa16,0.5593352,0.9349754,0.1076903,1.477296,0.9772389,0.006654259
sa05,NA,NA,NA,1.015932,0.9655591,0.01415397
sa26,0.6441582,0.7345108,0.244442,0.9556194,0.8267132,0.03387379
